yof_06136_00616155826	Lọ fá irun rẹ kó tó wù.
yof_04310_00085429033	Ìbọn ló bàá l’ẹ́sẹ̀.
yof_03397_01216055225	Ọwọ́ mi ni kẹ́ẹ wò.
yof_07505_02087322100	Òṣogbo ni wọ́n ti gbé àgbò náà bọ̀.
yof_09697_00825605999	Ọ̀rúnmìlà nìkan ló gbọ́ ohùn ẹnu Olódùmarè yékéyéke.
yof_00295_01406524313	Gbénró ló pe ẹjọ́ kòtẹ́milọ́rùn.
yof_02484_00830544591	Bí babaláwo náà ṣẹ̀ gba ibẹ̀ kọjá ni.
yof_06136_01270915354	Ọmọ bàba olówó ni mí.
yof_07049_01792666927	Abẹ́ igi Ọ̀dán ni wọ́n ti máa ń sábà pa ààlọ́.
yof_01208_00289556156	Ilẹ̀kùn yàrá Tádé ti bàjẹ́.
yof_03034_00305234805	Òǹkà Yorùbá ni mo kọ́ àwọn ènìyàn níbi ìpàdé àná.
yof_03397_01318934933	Désọ́lá lọ wẹ̀ lódò.
yof_08784_00690046189	Bàbá àgbà, ṣé ẹ ti jí?
yof_02484_01358389254	Bísí jẹ́ ìyàwó kejì.
yof_02121_00956906502	Àwọn Yorùbá kò fi ọwọ́ yẹpẹrẹ mú ọrọ ọmọ bíbí láwùjọ.
yof_06136_00347347264	Ẹlẹ́nu bótobòto, a ó ma wírú yó ma wírù.
yof_07508_00536283870	Mú aṣọ kúrò nílẹ̀.
yof_03349_00295894179	Wọ́n so ẹran mọ́ ‘lẹ̀ lọ́jọ́ iléyá.
yof_09334_00469431050	Ikú Olóògbé Dúró Ládiípọ̀ dun gbogbo ìlú.
yof_00610_01581194420	Arómáṣọdún bímọ ọkùnrin làǹtilanti.
yof_07505_00130217514	Òwe lẹ ó máa pa, ẹ ò ní pànìyàn.
yof_01208_01363759623	Àpò ṣaka ni wọ́n kó gbogbo ẹrù wọn sí nígbà tí wọ́n lọ sí ìrìn àjò náà.
yof_08784_01357406601	Ẹranko ti Jíbádé fẹ́ràn jù ni akọ ajá.
yof_08421_01121475027	Kí a máa dán ìgbàgbọ́ wa wò.
yof_06136_00845245042	Wọ́n mú ọmọ náà ṣeré.
yof_09334_02140860801	Àwàdà ni a fi bẹ̀rẹ̀ ọ̀rọ̀ náà.
